GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
77.283,1.141575183,3.3,6.25,4.362,2,0.409,5
74.363,1.132483825,5.5,6.65,4.305,2,0.386,5
75.024,1.126423654,7.8,7.1,4.188,2,0.364,5
77.016,1.12083706,8.3,7.25,4.147,2,0.341,5
79.224,1.111967837,6.7,6.65,4.128,2,0.318,5
77.067,1.09961159,4.6,6.2,4.203,2,0.295,6
71.623,1.086644521,3.3,5.95,4.296,2,0.273,8
63.68,1.07773118,2.2,6.3,4.436,2,0.25,8
66.183,1.073498399,1.9,6.85,4.525,2,0.227,8
68.669,1.074560468,1.7,7.05,4.633,2,0.205,8
76.803,1.08546897,1.9,6.65,4.612,2,0.182,6
81.088,1.107345665,1.9,6.25,4.6,2,0.159,6
85.869,1.13219563,2.3,5.75,4.549,2,0.136,5
81.391,1.146314122,3.6,5.3,4.442,2,0.114,6
75.871,1.115244285,4.2,5.3,4.256,2,0.091,6
69.179,1.02341709,3.4,6.0,4.001,2,0.068,6
73.616,0.888740961,2.9,7.05,3.812,2,0.045,6
73.916,0.770189023,2.4,8.9,3.542,2,0.023,6
87.408,0.678700435,-1.8,14.4,3.101,1,1.0,3
122.568,0.578753784,-16.4,71.7,0.99,1,0.955,3
120.345,0.568319085,2.0,84.4,0.833,1,0.939,2
109.836,0.56205483,1.5,81.65,0.852,1,0.924,2
94.623,0.566437492,-10.3,65.85,1.234,1,0.909,2
85.419,0.593396842,-14.5,50.85,1.787,1,0.894,2
79.451,0.649042634,-13.6,39.4,2.36,1,0.879,2
73.811,0.728678367,-11.0,31.6,2.806,1,0.864,2
69.518,0.812646016,-5.5,23.85,3.236,1,0.848,2
62.166,0.879497287,-1.7,17.85,3.542,1,0.833,2
59.183,0.90982337,2.2,13.5,3.762,1,0.818,2
61.178,0.899163641,3.9,10.35,3.803,1,0.803,2
63.124,0.870637963,6.5,8.15,3.8,1,0.788,2
68.801,0.837272703,9.7,7.45,3.776,1,0.773,2
74.956,0.806451323,8.2,11.0,3.689,1,0.758,2
73.741,0.779307828,11.0,13.0,3.693,1,0.742,2
70.887,0.757851344,7.2,15.9,3.59,1,0.727,2
66.106,0.738859802,6.9,16.25,3.598,1,0.712,2
61.301,0.720655357,6.1,15.55,3.544,1,0.697,2
62.447,0.70612011,7.1,12.65,3.731,1,0.682,2
66.43,0.697490887,9.0,10.4,3.811,1,0.667,2
66.115,0.696618459,3.6,14.0,3.675,1,0.652,2
69.423,0.698883137,0.5,17.65,3.533,1,0.636,2
69.913,0.697316542,0.2,17.8,3.564,1,0.621,2
69.283,0.692318044,1.3,15.35,3.592,1,0.606,2
66.611,0.683317262,6.0,11.7,3.575,1,0.591,3
65.698,0.671265433,7.5,10.45,3.552,1,0.576,3
60.898,0.651181062,6.7,9.05,3.482,1,0.561,1
54.422,0.623869268,4.1,8.15,3.375,1,0.545,1
52.522,0.589502796,2.1,8.05,3.292,1,0.53,1
47.697,0.546048866,0.7,8.75,3.231,1,0.515,1
49.447,0.497067936,1.1,9.05,3.301,1,0.5,1
51.292,0.441066407,2.5,8.85,3.356,1,0.485,1
50.455,0.386498966,3.5,9.15,3.364,1,0.47,1
49.664,0.334654767,4.4,10.4,3.311,1,0.455,1
51.814,0.285782274,5.1,12.05,3.228,1,0.439,1
50.33,0.237543738,5.1,13.65,3.093,1,0.424,1
55.273,0.194514342,5.0,15.0,2.925,1,0.409,1
57.158,0.15715444,4.5,16.15,2.785,1,0.394,1
58.471,0.123524981,4.9,17.15,2.723,1,0.379,1
60.956,0.09482038,4.8,17.7,2.697,1,0.364,1
61.142,0.070776463,4.2,18.3,2.653,1,0.348,1
65.743,0.050766311,3.2,19.0,2.651,1,0.333,1
62.268,0.034227261,3.3,19.15,2.657,1,0.318,1
60.073,0.021189299,2.9,19.45,2.67,1,0.303,1
58.534,0.011147361,2.8,19.8,2.648,1,0.288,1
55.719,0.004321374,2.9,19.85,2.676,1,0.273,1
53.799,0.002166062,2.8,20.0,2.674,1,0.258,1
57.85,0.005180513,2.8,19.9,2.681,1,0.242,1
59.106,0.01494035,3.0,19.6,2.74,1,0.227,1
61.935,0.034227261,2.7,19.35,2.762,1,0.212,1
69.304,0.061452479,3.0,19.3,2.776,1,0.197,1
79.289,0.098297536,3.1,18.85,2.777,1,0.182,1
88.876,0.145817714,4.6,18.9,2.773,1,0.167,1
92.783,0.197831693,4.6,21.3,2.59,1,0.152,1
95.363,0.255031163,-6.2,30.7,2.293,1,0.136,2
94.469,0.308350949,-8.0,33.6,2.28,1,0.121,4
87.7,0.351022853,-13.3,30.25,2.339,1,0.106,2
88.51,0.380573003,-16.9,25.75,2.43,1,0.091,2
97.562,0.404833717,-5.6,18.5,2.664,1,0.076,2
97.562,0.404833717,-5.6,18.5,2.664,1,0.076,2
106.601,0.424064525,4.7,14.25,3.032,1,0.061,2
110.258,0.44684771,8.6,14.4,3.098,1,0.045,2
112.1,0.473048805,12.1,15.75,3.151,1,0.03,3
104.128,0.501333179,12.5,17.35,3.15,1,0.015,4
84.133,0.529173603,11.7,16.45,3.231,2,1.0,5
68.131,0.564547712,7.5,13.35,3.302,2,0.9,6
57.115,0.607133204,4.1,9.75,3.384,2,0.8,6
46.425,0.671635597,0.6,8.1,3.406,2,0.7,6
47.71,0.760271661,-0.6,7.3,3.459,2,0.6,6
50.855,0.838219222,-1.0,7.0,3.494,2,0.5,6
55.715,0.912434633,-0.9,6.85,3.587,2,0.4,6
65.186,0.927626962,-0.5,6.55,3.745,2,0.3,8
79.03,0.906227263,0.3,5.75,3.903,2,0.2,8
90.953,0.879497287,1.5,5.75,3.908,2,0.1,8
95.638,0.85691006,-6.1,11.95,3.23,1,1.0,8
74.534,0.793301354,-19.5,36.35,2.242,1,0.944,1
61.681,0.69609416,-14.7,20.55,2.479,1,0.907,1
56.95,0.662946614,-1.4,12.2,2.981,1,0.889,1
58.099,0.652826303,4.9,9.55,3.099,1,0.87,1
60.606,0.653501947,5.5,10.35,3.038,1,0.852,1
63.963,0.65571455,6.0,11.5,3.029,1,0.833,1
67.625,0.656002321,7.3,11.95,3.079,1,0.815,1
73.272,0.656385719,8.7,11.45,3.138,1,0.796,1
76.418,0.661718058,9.4,10.6,3.296,1,0.778,2
73.595,0.677150521,10.7,9.75,3.46,1,0.759,2
71.789,0.70457945,11.9,9.15,3.626,1,0.741,2
66.261,0.736316808,11.5,8.95,3.726,1,0.722,2
66.621,0.76604086,9.5,8.45,3.83,1,0.704,2
60.802,0.790636962,8.2,7.7,3.856,1,0.685,2
58.173,0.807737922,7.7,7.55,3.853,1,0.667,2
60.075,0.819938569,8.4,7.8,3.875,1,0.648,2
64.145,0.831421817,7.6,9.4,3.692,1,0.63,2
66.009,0.840858554,4.9,12.15,3.626,1,0.611,2
64.883,0.846460825,5.8,12.1,3.605,1,0.593,2
63.606,0.845160078,4.5,11.45,3.543,1,0.574,2
61.526,0.834102656,6.9,8.35,3.551,1,0.556,2
61.163,0.819083076,6.2,7.0,3.511,1,0.537,1
57.268,0.802294711,5.5,6.25,3.498,1,0.519,1
61.245,0.782185866,4.2,6.7,3.473,1,0.5,1
60.758,0.757775491,4.2,7.0,3.479,1,0.481,1
58.844,0.722880611,5.0,7.1,3.528,1,0.463,1
62.816,0.686546899,6.2,7.1,3.561,1,0.444,1
68.881,0.651471852,7.2,7.6,3.626,1,0.426,1
75.51,0.625826713,9.0,8.7,3.652,1,0.407,1
83.396,0.607025878,9.8,10.9,3.594,1,0.389,2
80.594,0.592953572,2.5,17.95,3.367,1,0.37,2
81.894,0.583198774,2.1,20.25,3.34,1,0.352,2
78.444,0.57818061,0.3,20.85,3.315,1,0.333,2
64.898,0.577146985,0.2,19.9,3.404,1,0.315,2
59.734,0.578868329,6.5,16.15,3.524,1,0.296,5
52.386,0.581494542,9.9,13.85,3.578,1,0.278,5
50.751,0.585573519,11.4,11.7,3.553,1,0.259,5
50.034,0.593175263,10.8,10.5,3.491,1,0.241,5
56.46,0.60498163,11.2,9.6,3.425,1,0.222,1
63.25,0.620448385,10.2,10.5,3.326,1,0.204,1
69.671,0.63748973,11.4,11.0,3.358,1,0.185,1
76.313,0.653887558,7.9,13.35,3.218,1,0.167,2
79.579,0.670338641,3.7,16.55,3.144,1,0.148,1
81.01,0.688686724,4.0,17.0,3.17,1,0.13,1
80.243,0.708250889,3.1,15.85,3.208,1,0.111,1
79.301,0.726564216,5.1,13.05,3.25,1,0.093,1
82.884,0.74225367,5.9,11.65,3.288,1,0.074,1
90.179,0.74733411,7.0,10.9,3.414,1,0.056,4
94.523,0.737987326,7.3,11.15,3.399,1,0.037,4
101.324,0.715585552,6.0,12.4,3.374,1,0.019,3
103.582,0.682866796,6.6,12.4,3.4,2,1.0,3
103.582,0.682866796,6.6,12.4,3.4,1,1.0,3
104.803,0.653405491,8.5,11.55,3.496,1,0.98,3
104.224,0.631849462,7.2,13.1,3.429,1,0.96,2
101.678,0.617943435,-2.9,20.35,3.13,1,0.94,2
97.407,0.609167374,-6.8,24.7,3.058,1,0.92,2
92.733,0.60162548,-7.4,26.3,3.031,1,0.9,2
83.768,0.595826777,-7.3,24.75,3.03,1,0.88,2
77.536,0.594723946,-3.6,20.0,3.097,1,0.86,1
69.255,0.600864036,3.5,13.55,3.285,1,0.84,1
67.651,0.613947477,5.3,9.75,3.305,1,0.82,1
61.798,0.630529571,3.3,8.75,3.25,1,0.8,1
65.298,0.644832329,3.6,7.4,3.243,1,0.78,1
70.602,0.652149605,1.8,8.2,3.186,1,0.76,1
74.65,0.651181062,0.9,8.75,3.183,1,0.74,1
82.586,0.643748685,1.9,8.75,3.223,1,0.72,1
85.453,0.631849462,4.4,9.0,3.328,1,0.7,1
87.75,0.617210095,3.4,11.9,3.273,1,0.68,2
80.848,0.600864036,2.7,14.35,3.226,1,0.66,2
74.017,0.582063363,2.9,14.45,3.227,1,0.64,1
66.265,0.564429327,2.1,13.05,3.214,1,0.62,1
61.466,0.549003262,1.8,11.6,3.159,1,0.6,1
59.274,0.536937023,0.8,11.8,3.151,1,0.58,1
64.14,0.526855987,1.8,11.6,3.166,1,0.56,1
68.186,0.519040039,2.0,11.8,3.162,1,0.54,1
67.541,0.513883186,3.0,11.4,3.131,1,0.52,1
75.398,0.512684396,3.1,11.35,3.138,1,0.5,2
78.406,0.514149134,4.1,11.15,3.157,1,0.48,2
77.553,0.515211304,5.6,10.8,3.179,1,0.46,2
80.089,0.513883186,6.1,11.45,3.146,1,0.44,2
79.586,0.508664363,6.1,12.85,3.113,1,0.42,2
77.446,0.498586209,7.0,13.6,3.118,1,0.4,2
73.11,0.48301642,6.1,13.55,3.057,1,0.38,1
70.966,0.461648568,5.5,12.65,3.025,1,0.36,1
72.519,0.436480695,4.4,12.4,3.007,1,0.34,1
74.218,0.407730728,4.2,12.2,3.028,1,0.32,1
74.141,0.380753771,4.3,12.65,3.047,1,0.3,1
73.672,0.356599436,4.2,13.2,3.054,1,0.28,1
71.336,0.338057875,4.4,13.7,3.089,1,0.26,1
74.053,0.326540669,4.2,14.0,3.112,1,0.24,1
77.997,0.323045735,3.9,14.35,3.086,1,0.22,1
78.993,0.326949994,4.3,14.35,3.084,1,0.2,1
82.324,0.33725954,4.3,14.65,3.049,1,0.18,1
86.724,0.353531559,4.4,14.5,3.011,1,0.16,1
91.378,0.372727941,3.9,15.65,2.956,1,0.14,2
93.209,0.395675785,-7.1,22.85,2.692,1,0.12,2
99.065,0.419790586,-8.9,27.15,2.627,1,0.1,2
100.457,0.444513206,-6.4,29.0,2.722,1,0.08,3
93.08,0.46612587,-6.3,29.65,2.857,1,0.06,3
84.469,0.481299273,-2.8,26.3,3.057,1,0.04,2
78.955,0.484726804,5.8,21.0,3.365,1,0.02,2
74.66,0.474653253,9.0,17.7,3.515,1,1.0,2
74.66,0.474653253,9.0,17.7,3.515,2,1.0,2
72.493,0.45331834,11.2,14.1,3.513,1,0.982,2
71.798,0.421768401,9.8,13.1,3.388,1,0.964,2
68.403,0.386677284,7.5,12.85,3.256,1,0.946,2
65.671,0.350441857,7.0,12.5,3.145,1,0.929,2
61.233,0.317645543,7.0,12.4,3.013,1,0.911,1
56.061,0.286680969,4.9,14.35,2.841,1,0.893,1
55.568,0.260071388,4.7,16.15,2.776,1,0.875,1
51.105,0.236789099,4.3,17.75,2.718,1,0.857,1
48.131,0.219584526,2.9,17.65,2.705,1,0.839,1
52.326,0.206556044,1.1,16.95,2.708,1,0.821,1
53.823,0.197556213,0.6,16.2,2.762,1,0.804,1
56.018,0.191171456,1.1,15.75,2.831,1,0.786,1
56.541,0.183554534,1.0,15.6,2.885,1,0.768,1
54.188,0.173186268,1.1,15.75,2.953,1,0.75,1
54.345,0.160168293,1.4,16.2,2.975,1,0.732,1
54.682,0.145507171,2.1,16.85,2.965,1,0.714,1
58.663,0.13225969,2.6,17.6,2.954,1,0.696,1
64.45,0.12515583,3.7,18.15,2.967,1,0.679,1
63.074,0.12515583,4.5,18.25,2.916,1,0.661,1
62.461,0.136403448,4.4,18.2,2.883,1,0.643,1
61.969,0.157456768,4.2,17.8,2.863,1,0.625,1
62.436,0.18582536,3.7,17.25,2.887,1,0.607,1
74.047,0.218797998,3.9,16.55,2.893,1,0.589,1
84.98,0.2509077,4.7,15.75,2.885,1,0.571,1
95.575,0.278524965,5.5,15.35,2.879,1,0.554,2
96.582,0.294245716,6.5,15.05,2.872,1,0.536,2
89.201,0.29578694,6.9,15.35,2.841,1,0.518,1
77.631,0.284656283,6.3,15.15,2.845,1,0.5,1
67.782,0.267640982,4.6,15.0,2.837,1,0.482,1
60.967,0.251881455,3.6,15.2,2.82,1,0.464,1
58.641,0.239299479,3.7,15.85,2.814,1,0.446,1
56.283,0.229681842,3.2,16.6,2.835,1,0.429,1
52.97,0.220631019,2.5,16.65,2.868,1,0.411,1
53.057,0.212187604,2.2,15.4,2.933,1,0.393,1
52.373,0.20709554,2.2,14.0,2.968,1,0.375,1
53.622,0.206825876,3.2,13.2,3.018,1,0.357,1
56.168,0.209783015,5.0,13.1,3.02,1,0.339,1
58.593,0.210586025,5.6,14.2,2.992,1,0.321,1
59.201,0.206556044,6.0,15.8,2.927,1,0.304,1
63.468,0.194514342,5.8,17.2,2.877,1,0.286,1
64.174,0.17868924,5.8,18.0,2.869,1,0.268,1
65.156,0.165244326,5.8,18.1,2.889,1,0.25,1
68.686,0.15715444,5.7,17.75,2.919,1,0.232,1
69.944,0.159867847,5.7,17.05,2.919,1,0.214,1
69.911,0.171433901,5.2,16.3,2.908,1,0.196,1
75.088,0.191730393,4.8,16.4,2.876,1,0.179,1
79.094,0.220369632,4.9,16.25,2.888,1,0.161,1
76.407,0.250420002,4.9,15.75,2.879,1,0.143,1
76.877,0.282848603,4.9,15.25,2.873,1,0.125,1
79.285,0.313234292,5.1,14.75,2.849,1,0.107,1
84.41,0.345177617,5.7,15.15,2.854,1,0.089,1
90.404,0.378579576,-3.7,21.05,2.581,1,0.071,2
94.686,0.410608543,-12.8,28.0,2.442,1,0.054,2
94.686,0.410608543,-12.8,28.0,2.442,1,0.054,2
93.268,0.441695136,-12.6,29.9,2.512,1,0.036,3
83.245,0.472317546,-14.3,30.15,2.609,1,0.018,3
66.187,0.510410948,-12.8,28.0,2.788,2,1.0,5
51.12,0.559068334,2.0,20.0,3.32,2,0.9,5
37.073,0.611085733,4.4,16.5,3.715,2,0.8,8
26.393,0.657820456,6.0,10.4,3.97,2,0.7,8
22.444,0.685920792,4.6,6.4,4.177,2,0.6,8
23.628,0.692318044,5.5,3.25,4.305,2,0.5,6
25.698,0.682325619,4.7,2.95,4.388,2,0.4,6
38.392,0.66143405,3.7,4.35,4.193,2,0.3,6
54.121,0.640580806,0.4,8.7,3.496,2,0.2,6
64.146,0.621799224,-18.7,23.45,2.502,2,0.1,3
74.567,0.537441283,-8.1,17.75,2.736,1,0.808,2
79.038,0.543695632,5.4,10.2,3.13,1,0.769,2
83.075,0.550228353,2.7,13.35,2.941,1,0.731,2
86.756,0.550717423,-12.8,25.1,2.358,1,0.692,2
89.346,0.540954809,-18.1,33.55,2.155,1,0.654,3
85.942,0.524915148,-16.5,39.85,2.099,1,0.615,3
86.528,0.507180977,-16.5,41.35,2.15,1,0.577,3
91.581,0.496098992,-18.6,38.7,2.311,1,0.538,3
104.216,0.495821753,-14.3,33.35,2.7,1,0.5,3
103.144,0.505556939,-10.7,31.05,2.907,1,0.462,3
99.94,0.526210004,-3.3,28.45,3.141,1,0.423,3
95.45,0.552668216,1.7,24.85,3.388,1,0.385,3
81.581,0.581152892,-0.6,23.3,3.44,1,0.346,3
76.264,0.591843411,5.5,18.85,3.708,1,0.269,3
75.003,0.540079089,5.7,17.85,3.662,1,0.231,3
74.701,0.46746011,7.9,16.65,3.628,1,0.192,3
77.666,0.384532615,5.2,18.1,3.201,1,0.154,3
75.264,0.326130957,-10.6,27.6,2.605,1,0.115,5
72.4,0.289811839,-14.8,32.3,2.436,1,0.077,5
70.61,0.268577972,-15.2,35.2,2.453,1,0.038,3
57.971,0.254789687,-14.6,33.6,2.572,2,1.0,7
46.746,0.241795431,-9.0,25.7,3.046,2,0.95,7
43.446,0.241546481,0.9,17.15,3.804,2,0.9,8
42.124,0.263636069,5.2,14.1,4.125,2,0.85,8
46.923,0.311541958,6.1,13.05,4.369,2,0.8,8
64.814,0.379849179,5.2,13.0,4.438,2,0.75,8
79.274,0.45591024,5.0,12.4,4.31,2,0.7,8
88.073,0.529430354,4.7,12.05,4.357,2,0.65,8
91.345,0.577031986,4.8,11.6,4.317,2,0.6,8
91.434,0.597914471,4.8,11.3,4.397,2,0.55,8
88.002,0.602059991,4.8,10.5,4.498,2,0.5,8
85.405,0.59900924,4.0,10.1,4.544,2,0.45,8
84.348,0.596157081,4.4,10.3,4.503,2,0.4,8
89.329,0.59117595,5.0,10.8,4.455,2,0.35,8
85.469,0.581152892,5.2,11.3,4.376,2,0.3,8
84.193,0.564902673,4.7,11.05,4.28,2,0.25,8
89.404,0.542825427,5.2,10.4,4.126,2,0.2,8
89.947,0.521138084,6.4,9.8,3.921,2,0.15,8
97.878,0.504334912,7.8,10.3,3.823,2,0.1,8
106.475,0.494154594,9.7,11.55,3.77,2,0.05,8
110.121,0.488832634,4.0,16.6,3.331,1,1.0,8
111.355,0.488127496,-11.5,27.45,2.72,1,0.984,8
104.598,0.487421211,-12.3,31.95,2.558,1,0.968,5
101.945,0.486005186,-12.3,33.35,2.573,1,0.952,3
96.726,0.483587297,-12.6,33.3,2.552,1,0.935,3
93.814,0.48029446,-8.3,30.75,2.568,1,0.919,3
88.686,0.478277832,-6.3,30.35,2.68,1,0.903,3
88.001,0.479863113,-7.0,31.3,2.72,1,0.887,3
85.241,0.486572151,-7.9,32.85,2.622,1,0.871,3
80.347,0.498861689,-10.3,35.05,2.482,1,0.855,3
81.821,0.514149134,-12.4,37.9,2.337,1,0.839,3
79.776,0.527758753,-18.2,41.1,2.116,1,0.823,3
75.107,0.480725379,-16.0,75.5,0.646,1,0.645,3
88.53,0.635584266,-12.9,33.55,2.682,1,0.468,3
82.132,0.629409599,-6.3,28.75,3.064,1,0.452,3
79.53,0.624282096,-2.9,25.35,3.142,1,0.435,3
81.196,0.621280168,-1.4,22.2,3.235,1,0.419,2
81.671,0.618675539,1.3,17.95,3.343,1,0.403,3
81.994,0.617314933,7.7,13.35,3.624,1,0.387,2
77.9,0.61898892,10.1,12.15,3.645,1,0.371,2
77.672,0.622731965,1.7,17.95,3.391,1,0.355,2
78.003,0.624591459,1.1,20.15,3.366,1,0.339,2
79.786,0.621902961,0.7,20.85,3.395,1,0.323,2
85.068,0.615107987,1.4,19.1,3.479,1,0.306,2
90.082,0.605412798,4.9,16.35,3.52,1,0.29,2
90.381,0.592953572,10.2,13.2,3.749,1,0.274,2
90.296,0.578982843,10.2,13.1,3.794,1,0.258,2
85.317,0.565257343,11.9,13.75,3.776,1,0.242,2
84.741,0.549248557,10.1,17.05,3.599,1,0.226,2
81.491,0.539703239,4.4,22.6,3.399,1,0.21,2
85.146,0.536684673,0.4,25.0,3.19,1,0.194,2
83.997,0.538070787,-3.9,27.25,2.934,1,0.177,2
84.214,0.541454429,-10.0,30.5,2.647,1,0.161,2
80.845,0.537567257,-11.6,31.7,2.526,1,0.145,2
84.819,0.52530401,-12.5,30.55,2.527,1,0.129,2
85.426,0.510142699,-14.0,27.2,2.603,1,0.113,2
90.567,0.502153893,-5.6,21.0,2.726,1,0.097,2
99.422,0.507720977,-19.6,29.3,2.306,1,0.081,2
56.187,0.654657755,-15.0,25.7,2.893,2,1.0,5
35.522,0.70969387,1.4,11.7,3.941,2,0.985,8
23.688,0.777571805,-2.2,9.4,4.449,2,0.971,8
21.307,0.867349617,1.3,6.05,4.611,2,0.956,8
26.405,0.963315511,3.7,4.55,4.69,2,0.941,8
27.73,1.042536137,2.6,5.3,4.753,2,0.926,6
28.403,1.091350352,1.8,5.8,4.695,2,0.912,8
30.292,1.10744741,0.7,5.85,4.608,2,0.897,8
30.956,1.107277823,-0.3,5.75,4.557,2,0.882,8
33.036,1.107820267,-0.6,5.6,4.609,2,0.868,8
33.698,1.111262514,-0.3,5.25,4.643,2,0.853,8
29.775,1.1069724,0.1,4.75,4.66,2,0.838,8
24.094,1.089198367,-0.2,4.6,4.665,2,0.824,8
18.243,1.058501943,0.2,4.4,4.725,2,0.809,8
13.893,1.024362504,0.7,4.15,4.748,2,0.794,8
16.598,0.997648455,1.2,4.4,4.735,2,0.779,8
20.988,0.978773784,1.8,5.3,4.724,2,0.765,8
27.037,0.965201701,1.3,6.95,4.681,2,0.75,8
37.72,0.94767874,0.0,8.1,4.598,2,0.735,8
43.204,0.927319025,-1.0,8.2,4.552,2,0.721,8
51.049,0.911477217,-0.9,7.35,4.446,2,0.706,5
57.093,0.905472062,0.9,6.15,4.276,2,0.691,5
61.927,0.913707914,3.0,5.4,4.098,2,0.676,5
65.863,0.92808846,4.6,5.8,3.984,2,0.662,5
68.904,0.939718882,6.1,6.55,3.895,2,0.647,5
74.014,0.945714714,7.0,7.0,3.859,2,0.632,5
86.503,0.945960704,6.9,7.05,3.878,2,0.618,5
109.964,0.949341207,6.1,6.95,3.918,2,0.603,5
149.908,0.958372732,5.8,6.6,3.962,2,0.588,4
174.17,0.972063916,5.3,6.55,4.045,2,0.574,4
184.021,0.99100444,5.1,6.55,4.087,2,0.559,4
179.777,1.011866357,5.1,6.55,4.129,2,0.544,4
158.331,1.032739605,5.3,6.55,4.214,2,0.529,4
127.469,1.05415324,5.3,6.45,4.271,2,0.515,4
98.578,1.070000904,5.2,6.0,4.296,2,0.5,4
78.954,1.085112113,4.5,5.75,4.253,2,0.485,4
67.026,1.093946724,3.5,5.35,4.346,2,0.471,4
59.712,1.096562438,2.6,5.0,4.364,2,0.456,4
62.048,1.092439911,2.6,4.9,4.394,2,0.441,4
73.528,1.081995025,3.0,5.2,4.398,2,0.426,4
83.486,1.066251362,3.6,5.7,4.386,2,0.412,5
82.963,1.045283851,4.4,6.2,4.33,2,0.397,4
78.22,1.019946682,4.2,7.1,4.343,2,0.382,4
65.966,0.996686756,3.6,7.5,4.419,2,0.368,6
46.376,0.984347258,2.1,7.75,4.476,2,0.353,6
32.286,0.988648125,0.6,8.3,4.514,2,0.338,8
31.293,1.000217093,-0.1,8.65,4.64,2,0.324,8
36.538,1.005609445,-0.7,8.45,4.698,2,0.309,8
50.142,0.991624735,-0.5,7.55,4.586,2,0.294,8
58.872,0.951483231,0.7,6.75,4.493,2,0.279,6
62.932,0.892484179,2.1,6.45,4.454,2,0.265,5
67.306,0.835753968,3.0,6.5,4.409,2,0.25,5
67.731,0.794418331,-2.8,10.5,3.691,2,0.235,8
78.049,0.618884485,-12.1,21.45,2.608,2,0.147,2
75.925,0.631545228,-6.9,19.25,2.826,2,0.132,2
77.553,0.666424373,-8.4,22.6,2.84,2,0.118,3
71.921,0.710963119,-6.1,23.35,2.899,2,0.103,2
61.939,0.745230985,-6.5,22.85,2.917,2,0.088,3
51.987,0.765668555,-3.8,18.7,3.022,2,0.074,3
41.019,0.772761647,1.1,13.45,3.298,2,0.059,3
34.314,0.775537635,3.1,9.25,3.521,2,0.044,8
36.958,0.782615932,5.0,7.1,3.59,2,0.029,8
40.572,0.793650718,6.8,7.3,3.518,2,0.015,8
32.78,0.723,1.2,13.11,5.1,2,0.186,9
23.5,0.711,0.3,12.3,5.2,2,0.176,9
28.33,0.706,0.5,11.79,5.3,2,0.167,9
31.12,0.704,1.7,11.325,5.3,2,0.157,9
28.68,0.709,1.9,11.165,5.4,2,0.147,9
31.67,0.721,1.6,10.535,5.4,2,0.137,9
39.75,0.733,0.9,10.04,5.5,2,0.127,9
36.56,0.747,2.0,8.545,5.3,2,0.118,9
36.56,0.747,2.0,8.545,5.3,2,0.118,9
37.21,0.764,2.7,7.73,5.6,2,0.108,9
35.8,0.777,2.5,8.195,5.7,2,0.098,9
36.56,0.784,1.4,10.29,5.8,2,0.088,9
36.084,0.882,1.6,8.2,4.125,2,0.645,9
29.344,0.897,0.1,7.25,4.23,2,0.632,9
19.462,0.598,3.4,6.8,6.321,2,0.556,9
19.552,0.581,3.1,6.95,6.16,2,0.519,9
20.653,0.529,0.9,8.65,5.865,2,0.481,9
23.371,0.45,-1.0,11.3,5.315,2,0.444,9
31.453,0.899,0.99,12.242,4.52,2,0.833,9
37.844,0.895,1.105,12.128,4.727,2,0.8,9
43.313,0.898,0.916,12.512,4.687,2,0.767,9
41.906,0.891,0.793,13.074,4.594,2,0.733,9
35.063,0.878,0.492,13.229,4.867,2,0.7,9
32.531,0.867,-0.022,12.376,4.93,2,0.667,9
30.906,0.85,-1.111,11.17,5.352,2,0.633,9
32.188,0.821,-1.42,9.721,4.961,2,0.6,9
34.281,0.778,-1.263,9.076,5.012,2,0.567,9
40.844,0.724,-0.57,8.284,4.652,2,0.533,9
52.281,0.486,3.68,17.218,7.652,2,0.75,9
48.125,0.479,4.463,18.34,7.598,2,0.733,9
49.406,0.462,4.29,18.512,6.941,2,0.717,9
42.688,0.429,3.075,19.239,5.539,2,0.7,9
41.438,0.387,1.846,19.15,5.027,2,0.683,9
37.219,0.348,0.672,19.006,5.144,2,0.667,9
38.656,0.314,0.292,17.824,5.633,2,0.65,9
43.0,0.283,0.828,17.336,6.231,2,0.633,9
42.531,0.257,1.594,17.302,5.898,2,0.617,9
41.188,0.234,1.921,17.512,5.754,2,0.6,9
38.25,0.211,1.498,16.861,5.609,2,0.583,9
39.219,0.184,1.629,15.851,6.711,2,0.567,9
40.938,0.167,2.706,15.214,8.094,2,0.55,9
38.0,0.158,3.576,15.857,6.902,2,0.533,9
37.938,0.148,3.308,16.273,6.742,2,0.517,9
35.156,0.133,3.224,16.99,6.18,2,0.5,9
36.094,0.118,2.679,17.585,6.422,2,0.483,9
37.063,0.106,2.082,19.158,5.484,2,0.467,9
41.0,0.1,1.348,19.453,5.398,2,0.45,9
42.031,0.106,1.723,18.688,5.297,2,0.433,9
43.344,0.123,2.001,18.165,5.426,2,0.417,9
40.906,0.151,1.666,17.719,4.93,2,0.4,9
40.531,0.184,1.033,17.424,4.894,2,0.383,9
39.5,0.227,0.945,16.536,5.047,2,0.367,9
42.281,0.29,0.659,16.138,5.391,2,0.35,9
46.063,0.366,0.74,15.764,5.652,2,0.333,9
47.063,0.446,0.122,15.601,5.508,2,0.317,9
45.719,0.516,0.398,16.106,5.352,2,0.3,9
42.406,0.585,1.393,16.527,4.926,2,0.283,9
41.594,0.643,2.044,16.266,4.875,2,0.267,9
44.531,0.68,1.426,15.42,5.031,2,0.25,9
49.25,0.707,0.181,13.491,6.062,2,0.233,9
59.594,0.735,-0.061,11.536,6.227,2,0.217,9
74.0,0.768,0.243,9.67,5.672,2,0.2,9
